id;documento;entidades
1;O presidente Luiz Inácio Lula da Silva assinou hoje em Brasília um pacote de medidas para estimular a economia brasileira, incluindo investimentos em infraestrutura e geração de empregos.;[('Luiz Inácio Lula da Silva', 'PESSOA'), ('Brasília', 'LOCAL')]
2;O Banco Central do Brasil decidiu manter a taxa Selic em 10,5% ao ano, segundo comunicado divulgado pelo Comitê de Política Monetária nesta quarta-feira.;[('Banco Central do Brasil', 'ORGANIZACAO')]
3;A Petrobras anunciou lucro líquido de R$ 23 bilhões no primeiro trimestre deste ano, superando as expectativas dos analistas de mercado.;[('Petrobras', 'ORGANIZACAO'), ('R$ 23 bilhões', 'VALOR')]
4;O ministro da Fazenda, Fernando Haddad, apresentou ao Congresso Nacional o novo arcabouço fiscal, que prevê meta de déficit zero para 2025.;[('Fernando Haddad', 'PESSOA'), ('Congresso Nacional', 'ORGANIZACAO')]
5;A Bolsa de Valores de São Paulo, a B3, registrou alta de 1,2% nesta sexta-feira, impulsionada pelo desempenho positivo das ações do setor bancário.;[('B3', 'ORGANIZACAO'), ('São Paulo', 'LOCAL')]
6;O governador de São Paulo, Tarcísio de Freitas, anunciou a privatização de mais quatro empresas estatais do estado nos próximos dois anos.;[('Tarcísio de Freitas', 'PESSOA'), ('São Paulo', 'LOCAL')]
7;O Instituto Brasileiro de Geografia e Estatística divulgou que a taxa de desemprego caiu para 7,8% no segundo trimestre, menor nível desde 2014.;[]
8;A Vale informou que a produção de minério de ferro atingiu recorde histórico no terceiro trimestre, com 89,4 milhões de toneladas métricas.;[('Vale', 'ORGANIZACAO')]
9;O Supremo Tribunal Federal concluiu o julgamento sobre a constitucionalidade da reforma tributária aprovada pelo Congresso Nacional.;[('Supremo Tribunal Federal', 'ORGANIZACAO'), ('Congresso Nacional', 'ORGANIZACAO')]
10;O presidente do Banco Central, Roberto Campos Neto, alertou sobre os riscos fiscais que podem comprometer a estabilidade da moeda nacional.;[('Roberto Campos Neto', 'PESSOA')]
11;A empresa de tecnologia Totvs anunciou a aquisição de uma startup de inteligência artificial por R$ 450 milhões no Rio de Janeiro.;[('Totvs', 'ORGANIZACAO'), ('Rio de Janeiro', 'LOCAL'), ('R$ 450 milhões', 'VALOR')]
12;O Senado Federal aprovou por 52 votos a 19 a proposta de emenda constitucional que modifica as regras do sistema previdenciário.;[('Senado Federal', 'ORGANIZACAO')]
13;A Embraer fechou contrato de US$ 2 bilhões com companhia aérea americana para fornecimento de aeronaves E2 nos próximos cinco anos.;[('Embraer', 'ORGANIZACAO'), ('US$ 2 bilhões', 'VALOR')]
14;O ministro da Educação anunciou a expansão do programa Bolsa Família para famílias com crianças em idade escolar em todo o território nacional.;[]
15;A Agência Nacional de Vigilância Sanitária aprovou novos medicamentos genéricos para o tratamento de doenças crônicas no Brasil.;[('Brasil', 'LOCAL')]
16;O prefeito de São Paulo, Ricardo Nunes, inaugurou o trecho norte da Linha 6 do metrô, que liga a estação Brasilândia ao centro da cidade.;[('Ricardo Nunes', 'PESSOA'), ('São Paulo', 'LOCAL')]
17;O Brasil registrou superávit comercial de US$ 8,4 bilhões em setembro, impulsionado pelas exportações de soja e petróleo.;[('Brasil', 'LOCAL'), ('US$ 8,4 bilhões', 'VALOR')]
18;A Câmara dos Deputados aprovou em primeiro turno a reforma administrativa, que altera as regras do serviço público federal.;[('Câmara dos Deputados', 'ORGANIZACAO')]
19;O Conselho Nacional de Justiça publicou resolução que moderniza o sistema de processos digitais no Judiciário brasileiro.;[]
20;A Ambev divulgou crescimento de 15% nas vendas no mercado brasileiro, atribuído ao aumento do consumo nas regiões Norte e Nordeste.;[('Ambev', 'ORGANIZACAO'), ('Nordeste', 'LOCAL')]
21;O governo federal lançou o programa Minha Casa Minha Vida ampliado, com meta de construir 2 milhões de habitações até 2026.;[]
22;A Agência Nacional de Telecomunicações anunciou o leilão de frequências 5G para as cidades de médio porte do interior do Brasil.;[('Brasil', 'LOCAL')]
23;O Tribunal de Contas da União apontou irregularidades em contratos de obras do Departamento Nacional de Infraestrutura de Transportes.;[]
