id;original;limpo;tokens;tokens_sem_sw
1;O presidente Luiz Inácio Lula da Silva assinou hoje em Brasília um pacote de medidas para estimular a economia brasileira, incluindo investimentos em infraestrutura e geração de empregos.;o presidente luiz inácio lula da silva assinou hoje em brasília um pacote de medidas para estimular a economia brasileira incluindo investimentos em infraestrutura e geração de empregos;o presidente luiz inácio lula da silva assinou hoje em brasília um pacote de medidas para estimular a economia brasileira incluindo investimentos em infraestrutura e geração de empregos;presidente luiz inácio lula silva assinou hoje brasília pacote medidas estimular economia brasileira incluindo investimentos infraestrutura geração empregos
2;O Banco Central do Brasil decidiu manter a taxa Selic em 10,5% ao ano, segundo comunicado divulgado pelo Comitê de Política Monetária nesta quarta-feira.;o banco central do brasil decidiu manter a taxa selic em ao ano segundo comunicado divulgado pelo comitê de política monetária nesta quartafeira;o banco central do brasil decidiu manter a taxa selic em ao ano segundo comunicado divulgado pelo comitê de política monetária nesta quartafeira;banco central brasil decidiu manter taxa selic comunicado divulgado comitê política monetária nesta quartafeira
3;A Petrobras anunciou lucro líquido de R$ 23 bilhões no primeiro trimestre deste ano, superando as expectativas dos analistas de mercado.;a petrobras anunciou lucro líquido de r bilhões no primeiro trimestre deste ano superando as expectativas dos analistas de mercado;a petrobras anunciou lucro líquido de r bilhões no primeiro trimestre deste ano superando as expectativas dos analistas de mercado;petrobras anunciou lucro líquido bilhões primeiro trimestre deste superando expectativas analistas mercado
4;O ministro da Fazenda, Fernando Haddad, apresentou ao Congresso Nacional o novo arcabouço fiscal, que prevê meta de déficit zero para 2025.;o ministro da fazenda fernando haddad apresentou ao congresso nacional o novo arcabouço fiscal que prevê meta de déficit zero para;o ministro da fazenda fernando haddad apresentou ao congresso nacional o novo arcabouço fiscal que prevê meta de déficit zero para;ministro fazenda fernando haddad apresentou congresso nacional arcabouço fiscal prevê meta déficit zero
5;A Bolsa de Valores de São Paulo, a B3, registrou alta de 1,2% nesta sexta-feira, impulsionada pelo desempenho positivo das ações do setor bancário.;a bolsa de valores de são paulo a b registrou alta de nesta sextafeira impulsionada pelo desempenho positivo das ações do setor bancário;a bolsa de valores de são paulo a b registrou alta de nesta sextafeira impulsionada pelo desempenho positivo das ações do setor bancário;bolsa valores paulo registrou alta nesta sextafeira impulsionada desempenho positivo ações setor bancário
6;O governador de São Paulo, Tarcísio de Freitas, anunciou a privatização de mais quatro empresas estatais do estado nos próximos dois anos.;o governador de são paulo tarcísio de freitas anunciou a privatização de mais quatro empresas estatais do estado nos próximos dois anos;o governador de são paulo tarcísio de freitas anunciou a privatização de mais quatro empresas estatais do estado nos próximos dois anos;governador paulo tarcísio freitas anunciou privatização quatro empresas estatais estado próximos dois
7;O Instituto Brasileiro de Geografia e Estatística divulgou que a taxa de desemprego caiu para 7,8% no segundo trimestre, menor nível desde 2014.;o instituto brasileiro de geografia e estatística divulgou que a taxa de desemprego caiu para no segundo trimestre menor nível desde;o instituto brasileiro de geografia e estatística divulgou que a taxa de desemprego caiu para no segundo trimestre menor nível desde;instituto brasileiro geografia estatística divulgou taxa desemprego caiu trimestre menor nível
8;A Vale informou que a produção de minério de ferro atingiu recorde histórico no terceiro trimestre, com 89,4 milhões de toneladas métricas.;a vale informou que a produção de minério de ferro atingiu recorde histórico no terceiro trimestre com milhões de toneladas métricas;a vale informou que a produção de minério de ferro atingiu recorde histórico no terceiro trimestre com milhões de toneladas métricas;vale informou produção minério ferro atingiu recorde histórico terceiro trimestre milhões toneladas métricas
9;O Supremo Tribunal Federal concluiu o julgamento sobre a constitucionalidade da reforma tributária aprovada pelo Congresso Nacional.;o supremo tribunal federal concluiu o julgamento sobre a constitucionalidade da reforma tributária aprovada pelo congresso nacional;o supremo tribunal federal concluiu o julgamento sobre a constitucionalidade da reforma tributária aprovada pelo congresso nacional;supremo tribunal federal concluiu julgamento constitucionalidade reforma tributária aprovada congresso nacional
10;O presidente do Banco Central, Roberto Campos Neto, alertou sobre os riscos fiscais que podem comprometer a estabilidade da moeda nacional.;o presidente do banco central roberto campos neto alertou sobre os riscos fiscais que podem comprometer a estabilidade da moeda nacional;o presidente do banco central roberto campos neto alertou sobre os riscos fiscais que podem comprometer a estabilidade da moeda nacional;presidente banco central roberto campos neto alertou riscos fiscais podem comprometer estabilidade moeda nacional
11;A empresa de tecnologia Totvs anunciou a aquisição de uma startup de inteligência artificial por R$ 450 milhões no Rio de Janeiro.;a empresa de tecnologia totvs anunciou a aquisição de uma startup de inteligência artificial por r milhões no rio de janeiro;a empresa de tecnologia totvs anunciou a aquisição de uma startup de inteligência artificial por r milhões no rio de janeiro;empresa tecnologia totvs anunciou aquisição startup inteligência artificial milhões rio janeiro
12;O Senado Federal aprovou por 52 votos a 19 a proposta de emenda constitucional que modifica as regras do sistema previdenciário.;o senado federal aprovou por votos a a proposta de emenda constitucional que modifica as regras do sistema previdenciário;o senado federal aprovou por votos a a proposta de emenda constitucional que modifica as regras do sistema previdenciário;senado federal aprovou votos proposta emenda constitucional modifica regras sistema previdenciário
13;A Embraer fechou contrato de US$ 2 bilhões com companhia aérea americana para fornecimento de aeronaves E2 nos próximos cinco anos.;a embraer fechou contrato de us bilhões com companhia aérea americana para fornecimento de aeronaves e nos próximos cinco anos;a embraer fechou contrato de us bilhões com companhia aérea americana para fornecimento de aeronaves e nos próximos cinco anos;embraer fechou contrato bilhões companhia aérea americana fornecimento aeronaves próximos cinco
14;O ministro da Educação anunciou a expansão do programa Bolsa Família para famílias com crianças em idade escolar em todo o território nacional.;o ministro da educação anunciou a expansão do programa bolsa família para famílias com crianças em idade escolar em todo o território nacional;o ministro da educação anunciou a expansão do programa bolsa família para famílias com crianças em idade escolar em todo o território nacional;ministro educação anunciou expansão programa bolsa família famílias crianças idade escolar todo território nacional
15;A Agência Nacional de Vigilância Sanitária aprovou novos medicamentos genéricos para o tratamento de doenças crônicas no Brasil.;a agência nacional de vigilância sanitária aprovou novos medicamentos genéricos para o tratamento de doenças crônicas no brasil;a agência nacional de vigilância sanitária aprovou novos medicamentos genéricos para o tratamento de doenças crônicas no brasil;agência nacional vigilância sanitária aprovou novos medicamentos genéricos tratamento doenças crônicas brasil
