id;documento;pos_tags
1;O presidente Luiz Inácio Lula da Silva assinou hoje em Brasília um pacote de medidas para estimular a economia brasileira, incluindo investimentos em infraestrutura e geração de empregos.;[('O', 'ART'), ('presidente', 'SUBST'), ('Luiz', 'PROPN'), ('Inácio', 'PROPN'), ('Lula', 'PROPN'), ('da', 'PREP'), ('Silva', 'PROPN'), ('assinou', 'V'), ('hoje', 'ADV'), ('em', 'PREP'), ('Brasília', 'PROPN'), ('um', 'ART'), ('pacote', 'SUBST'), ('de', 'PREP'), ('medidas', 'SUBST'), ('para', 'PREP'), ('estimular', 'SUBST'), ('a', 'ART'), ('economia', 'SUBST'), ('brasileira', 'SUBST'), (',', 'PUNCT'), ('incluindo', 'V'), ('investimentos', 'SUBST'), ('em', 'PREP'), ('infraestrutura', 'SUBST'), ('e', 'CONJ'), ('geração', 'SUBST'), ('de', 'PREP'), ('empregos', 'SUBST'), ('.', 'PUNCT')]
2;O Banco Central do Brasil decidiu manter a taxa Selic em 10,5% ao ano, segundo comunicado divulgado pelo Comitê de Política Monetária nesta quarta-feira.;[('O', 'ART'), ('Banco', 'PROPN'), ('Central', 'PROPN'), ('do', 'PREP'), ('Brasil', 'PROPN'), ('decidiu', 'V'), ('manter', 'V'), ('a', 'ART'), ('taxa', 'SUBST'), ('Selic', 'PROPN'), ('em', 'PREP'), ('10', 'NUM'), (',', 'PUNCT'), ('5', 'NUM'), ('ao', 'PREP'), ('ano', 'SUBST'), (',', 'PUNCT'), ('segundo', 'SUBST'), ('comunicado', 'V'), ('divulgado', 'V'), ('pelo', 'PREP'), ('Comitê', 'PROPN'), ('de', 'PREP'), ('Política', 'PROPN'), ('Monetária', 'PROPN'), ('nesta', 'ADV'), ('quarta', 'SUBST'), ('feira', 'SUBST'), ('.', 'PUNCT')]
3;A Petrobras anunciou lucro líquido de R$ 23 bilhões no primeiro trimestre deste ano, superando as expectativas dos analistas de mercado.;[('A', 'ART'), ('Petrobras', 'PROPN'), ('anunciou', 'V'), ('lucro', 'SUBST'), ('líquido', 'V'), ('de', 'PREP'), ('R', 'SUBST'), ('23', 'NUM'), ('bilhões', 'SUBST'), ('no', 'PREP'), ('primeiro', 'SUBST'), ('trimestre', 'SUBST'), ('deste', 'SUBST'), ('ano', 'SUBST'), (',', 'PUNCT'), ('superando', 'V'), ('as', 'ART'), ('expectativas', 'SUBST'), ('dos', 'PREP'), ('analistas', 'SUBST'), ('de', 'PREP'), ('mercado', 'V'), ('.', 'PUNCT')]
4;O ministro da Fazenda, Fernando Haddad, apresentou ao Congresso Nacional o novo arcabouço fiscal, que prevê meta de déficit zero para 2025.;[('O', 'ART'), ('ministro', 'SUBST'), ('da', 'PREP'), ('Fazenda', 'PROPN'), (',', 'PUNCT'), ('Fernando', 'PROPN'), ('Haddad', 'PROPN'), (',', 'PUNCT'), ('apresentou', 'V'), ('ao', 'PREP'), ('Congresso', 'PROPN'), ('Nacional', 'PROPN'), ('o', 'ART'), ('novo', 'SUBST'), ('arcabouço', 'SUBST'), ('fiscal', 'ADJ'), (',', 'PUNCT'), ('que', 'CONJ'), ('prevê', 'V'), ('meta', 'SUBST'), ('de', 'PREP'), ('déficit', 'SUBST'), ('zero', 'SUBST'), ('para', 'PREP'), ('2025', 'NUM'), ('.', 'PUNCT')]
5;A Bolsa de Valores de São Paulo, a B3, registrou alta de 1,2% nesta sexta-feira, impulsionada pelo desempenho positivo das ações do setor bancário.;[('A', 'ART'), ('Bolsa', 'PROPN'), ('de', 'PREP'), ('Valores', 'PROPN'), ('de', 'PREP'), ('São', 'PROPN'), ('Paulo', 'PROPN'), (',', 'PUNCT'), ('a', 'ART'), ('B3', 'PROPN'), (',', 'PUNCT'), ('registrou', 'V'), ('alta', 'SUBST'), ('de', 'PREP'), ('1', 'NUM'), (',', 'PUNCT'), ('2', 'NUM'), ('nesta', 'ADV'), ('sexta', 'SUBST'), ('feira', 'SUBST'), (',', 'PUNCT'), ('impulsionada', 'SUBST'), ('pelo', 'PREP'), ('desempenho', 'SUBST'), ('positivo', 'SUBST'), ('das', 'PREP'), ('ações', 'SUBST'), ('do', 'PREP'), ('setor', 'SUBST'), ('bancário', 'SUBST'), ('.', 'PUNCT')]
6;O governador de São Paulo, Tarcísio de Freitas, anunciou a privatização de mais quatro empresas estatais do estado nos próximos dois anos.;[('O', 'ART'), ('governador', 'SUBST'), ('de', 'PREP'), ('São', 'PROPN'), ('Paulo', 'PROPN'), (',', 'PUNCT'), ('Tarcísio', 'PROPN'), ('de', 'PREP'), ('Freitas', 'PROPN'), (',', 'PUNCT'), ('anunciou', 'V'), ('a', 'ART'), ('privatização', 'SUBST'), ('de', 'PREP'), ('mais', 'ADV'), ('quatro', 'SUBST'), ('empresas', 'SUBST'), ('estatais', 'ADJ'), ('do', 'PREP'), ('estado', 'V'), ('nos', 'PREP'), ('próximos', 'SUBST'), ('dois', 'SUBST'), ('anos', 'SUBST'), ('.', 'PUNCT')]
7;O Instituto Brasileiro de Geografia e Estatística divulgou que a taxa de desemprego caiu para 7,8% no segundo trimestre, menor nível desde 2014.;[('O', 'ART'), ('Instituto', 'PROPN'), ('Brasileiro', 'PROPN'), ('de', 'PREP'), ('Geografia', 'PROPN'), ('e', 'CONJ'), ('Estatística', 'PROPN'), ('divulgou', 'V'), ('que', 'CONJ'), ('a', 'ART'), ('taxa', 'SUBST'), ('de', 'PREP'), ('desemprego', 'SUBST'), ('caiu', 'SUBST'), ('para', 'PREP'), ('7', 'NUM'), (',', 'PUNCT'), ('8', 'NUM'), ('no', 'PREP'), ('segundo', 'SUBST'), ('trimestre', 'SUBST'), (',', 'PUNCT'), ('menor', 'SUBST'), ('nível', 'ADJ'), ('desde', 'SUBST'), ('2014', 'NUM'), ('.', 'PUNCT')]
8;A Vale informou que a produção de minério de ferro atingiu recorde histórico no terceiro trimestre, com 89,4 milhões de toneladas métricas.;[('A', 'ART'), ('Vale', 'PROPN'), ('informou', 'V'), ('que', 'CONJ'), ('a', 'ART'), ('produção', 'SUBST'), ('de', 'PREP'), ('minério', 'SUBST'), ('de', 'PREP'), ('ferro', 'SUBST'), ('atingiu', 'V'), ('recorde', 'SUBST'), ('histórico', 'SUBST'), ('no', 'PREP'), ('terceiro', 'SUBST'), ('trimestre', 'SUBST'), (',', 'PUNCT'), ('com', 'PREP'), ('89', 'NUM'), (',', 'PUNCT'), ('4', 'NUM'), ('milhões', 'SUBST'), ('de', 'PREP'), ('toneladas', 'SUBST'), ('métricas', 'SUBST'), ('.', 'PUNCT')]
9;O Supremo Tribunal Federal concluiu o julgamento sobre a constitucionalidade da reforma tributária aprovada pelo Congresso Nacional.;[('O', 'ART'), ('Supremo', 'PROPN'), ('Tribunal', 'PROPN'), ('Federal', 'PROPN'), ('concluiu', 'SUBST'), ('o', 'ART'), ('julgamento', 'SUBST'), ('sobre', 'PREP'), ('a', 'ART'), ('constitucionalidade', 'SUBST'), ('da', 'PREP'), ('reforma', 'SUBST'), ('tributária', 'SUBST'), ('aprovada', 'SUBST'), ('pelo', 'PREP'), ('Congresso', 'PROPN'), ('Nacional', 'PROPN'), ('.', 'PUNCT')]
10;O presidente do Banco Central, Roberto Campos Neto, alertou sobre os riscos fiscais que podem comprometer a estabilidade da moeda nacional.;[('O', 'ART'), ('presidente', 'SUBST'), ('do', 'PREP'), ('Banco', 'PROPN'), ('Central', 'PROPN'), (',', 'PUNCT'), ('Roberto', 'PROPN'), ('Campos', 'PROPN'), ('Neto', 'PROPN'), (',', 'PUNCT'), ('alertou', 'V'), ('sobre', 'PREP'), ('os', 'ART'), ('riscos', 'SUBST'), ('fiscais', 'ADJ'), ('que', 'CONJ'), ('podem', 'SUBST'), ('comprometer', 'SUBST'), ('a', 'ART'), ('estabilidade', 'SUBST'), ('da', 'PREP'), ('moeda', 'SUBST'), ('nacional', 'ADJ'), ('.', 'PUNCT')]
